Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
26590128,10/30/2013 09:47:00 AM,10/30/2013 09:47:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10302.0,,,,,MAPLE AVENUE,HARRISON AVENUE,INTERSECTION,STATEN ISLAND,,,Closed,,10/29/2013 09:47:00 AM,01 STATEN ISLAND,STATEN ISLAND,946745.0,171294.0,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.6367596454,-74.1351318521,"(40.63675964537897, -74.13513185206028)"
26594679,10/30/2013 09:47:00 AM,10/29/2013 02:05:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10468.0,,,,,KINGSBRIDGE ROAD EAST,MORRIS AVENUE,INTERSECTION,BRONX,,,Pending,,10/29/2013 02:05:00 AM,07 BRONX,BRONX,1012928.0,255180.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.8670381479,-73.8963143541,"(40.867038147919395, -73.89631435413959)"
26589043,10/30/2013 09:47:00 AM,10/30/2013 11:19:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10456.0,670 JEFFERSON PLACE,JEFFERSON PLACE,CLINTON AVENUE,BOSTON ROAD,,,ADDRESS,BRONX,,,Closed,,10/30/2013 11:19:00 AM,03 BRONX,BRONX,1012310.0,242751.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.8329262297,-73.898600756,"(40.832926229740714, -73.89860075595622)"
26590151,10/30/2013 09:47:00 AM,10/29/2013 01:40:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,,,GRAND CONCOURSE,FORDHAM RD E,INTERSECTION,,,,Pending,,10/29/2013 01:40:00 AM,Unspecified BRONX,BRONX,,,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
26588958,10/30/2013 09:46:39 AM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10023.0,,,,,WEST   64 STREET,CENTRAL PARK WEST,INTERSECTION,NEW YORK,,,Open,,,07 MANHATTAN,MANHATTAN,989886.0,220230.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,Other,,,,,,,,40.7711550366,-73.9796523189,"(40.77115503657826, -73.97965231891881)"
26593606,10/30/2013 09:46:00 AM,,DEP,Department of Environmental Protection,Sewer,Sewer Odor (SA2),,11357.0,12-35 147 STREET,147 STREET,CROSS ISLAND PARKWAY,13 AVENUE,,,ADDRESS,Whitestone,,,Open,,,07 QUEENS,QUEENS,1034335.0,226646.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.788625133,-73.8191302809,"(40.788625133026194, -73.8191302809469)"
26590150,10/30/2013 09:46:00 AM,10/29/2013 12:40:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,,,JEROME AVE,205 ST E,INTERSECTION,,,,Pending,,10/29/2013 12:40:00 AM,Unspecified BRONX,BRONX,,,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
26590980,10/30/2013 09:46:00 AM,10/29/2013 12:10:00 AM,DOT,Department of Transportation,Street Light Condition,Glassware Broken,,10458.0,,,,,BEDFORD PARK BOULEVARD,VALENTINE AVENUE,INTERSECTION,BRONX,,,Pending,,10/29/2013 12:10:00 AM,07 BRONX,BRONX,1015525.0,256752.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.8713439854,-73.886917543,"(40.871343985427906, -73.88691754299025)"
26591546,10/30/2013 09:45:51 AM,10/30/2013 10:43:13 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11364.0,,,,,56 AVENUE,CLOVERDALE BOULEVARD,INTERSECTION,OAKLAND GARDENS,,Precinct,Closed,10/30/2013 05:45:51 PM,10/30/2013 10:43:13 AM,11 QUEENS,QUEENS,1052490.0,214342.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7547324614,-73.7536931782,"(40.75473246142093, -73.75369317821458)"
26592145,10/30/2013 09:45:21 AM,,DOB,Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,,10035.0,252 EAST 125 STREET,EAST 125 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,,Open,,,11 MANHATTAN,MANHATTAN,1002341.0,231911.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.803199532,-73.9346545171,"(40.80319953199153, -73.93465451713293)"
26588943,10/30/2013 09:45:01 AM,10/30/2013 02:53:04 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11102.0,30-62 30 STREET,30 STREET,30 AVENUE,30 DRIVE,,,ADDRESS,ASTORIA,,Precinct,Closed,10/30/2013 05:45:01 PM,10/30/2013 02:53:04 PM,01 QUEENS,QUEENS,1005514.0,218358.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7659931066,-73.9232364075,"(40.76599310658044, -73.92323640745474)"
26593850,10/30/2013 09:45:00 AM,10/30/2013 09:45:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10458.0,,,,,BEDFORD PARK BOULEVARD,PERRY AVENUE,INTERSECTION,BRONX,,,Closed,,10/29/2013 11:50:00 PM,07 BRONX,BRONX,1016066.0,256095.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.8695387894,-73.8849645463,"(40.869538789433506, -73.88496454625853)"
26594704,10/30/2013 09:45:00 AM,,DSNY,BCC - Bronx,Other Enforcement,E10 Obstruction (Street/Sidewalk),Sidewalk,10458.0,2454 HUGHES AVENUE,HUGHES AVENUE,EAST 188 STREET,EAST 189 STREET,,,ADDRESS,BRONX,,DSNY Garage,Open,,,06 BRONX,BRONX,1015809.0,251277.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.8563157689,-73.8859164541,"(40.856315768863816, -73.88591645414573)"
26593792,10/30/2013 09:45:00 AM,10/30/2013 09:45:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,,,BELMONT AVE,188 ST E,INTERSECTION,,,,Closed,,10/29/2013 11:05:00 PM,Unspecified BRONX,BRONX,,,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
26593842,10/30/2013 09:45:00 AM,10/30/2013 09:45:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,,,CAMBRELENG AVE,188 ST E,INTERSECTION,,,,Closed,,10/29/2013 10:35:00 PM,Unspecified BRONX,BRONX,,,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
26591718,10/30/2013 09:45:00 AM,,DEP,Department of Environmental Protection,Noise,Noise:  lawn care equipment (NCL),,11237.0,,,,,KNICKERBOCKER AVENUE,STARR STREET,INTERSECTION,BROOKLYN,,,Open,,,04 BROOKLYN,BROOKLYN,1004937.0,195338.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.7028102711,-73.9253901732,"(40.70281027107546, -73.92539017316004)"
26594181,10/30/2013 09:45:00 AM,,DSNY,BCC - Staten Island,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10302.0,87 SIMONSON PLACE,SIMONSON PLACE,ANDERSON AVENUE,CATHERINE COURT,,,ADDRESS,STATEN ISLAND,,DSNY Garage,Open,,,01 STATEN ISLAND,STATEN ISLAND,947823.0,169770.0,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.6325810928,-74.1312395588,"(40.63258109275827, -74.13123955879148)"
26588930,10/30/2013 09:44:41 AM,10/30/2013 04:56:26 PM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11419.0,,,,,131 STREET,103 AVENUE,INTERSECTION,SOUTH RICHMOND HILL,,Precinct,Closed,10/30/2013 05:44:41 PM,10/30/2013 04:56:26 PM,09 QUEENS,QUEENS,1035491.0,190983.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6907326561,-73.8152273403,"(40.69073265607394, -73.81522734029967)"
26593782,10/30/2013 09:44:00 AM,10/30/2013 09:44:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10314.0,,,,,FELTON STREET,LAMBERTS LANE,INTERSECTION,STATEN ISLAND,,,Closed,,10/29/2013 09:44:00 AM,02 STATEN ISLAND,STATEN ISLAND,937466.0,163996.0,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.6166840561,-74.1685137611,"(40.616684056073126, -74.16851376109986)"
